file,type,sha256_prefix,sha256_full,ground_truth,decision,risk_score
WhatsApp Image 2026-09-06 at 10.51.45 PM.jpeg,JPEG,db5f95aff327eb32,db5f95aff327eb32773f6629272c532246e92c59cb50c141260d8bb59884d0dd,UNKNOWN,INVALID / POSSIBLE TAMPERING,83.0
WhatsApp Image 2026-09-08 at 10.40.20 AM.jpeg,JPEG,058983aef83a385e,058983aef83a385efbd781db47005a7be4976e26fa341cc12ac978e1098ee458,UNKNOWN,UNABLE_TO_VERIFY,45.5
WhatsApp Image 2026-09-08 at 10.40.29 AM.jpeg,JPEG,598b5ee5e67c96be,598b5ee5e67c96be68d8483c6740bebe83a27fcc2cb8a73f35c36b3f211cc5a8,UNKNOWN,INVALID / POSSIBLE TAMPERING,83.0
WhatsApp Image 2026-09-08 at 10.41.54 AM.jpeg,JPEG,ced1f9bbd3e60271,ced1f9bbd3e602719bb7317ebdd27802393a789f21872fe13278f4d5133a7654,UNKNOWN,UNABLE_TO_VERIFY,45.4
WhatsApp Image 2026-09-08 at 10.41.55 AM.jpeg,JPEG,3dfb1cea69c61ec7,3dfb1cea69c61ec7445243fc39b97e9bbaee7f857ed0e26a3733645f059c8eeb,UNKNOWN,UNABLE_TO_VERIFY,45.3
WhatsApp Image 2026-09-08 at 10.42.18 AM.jpeg,JPEG,c526b8391b295cb2,c526b8391b295cb2f2d14e8c595e0fb4eff7924b934d4abaa55d6ff80d1200c1,UNKNOWN,INVALID / POSSIBLE TAMPERING,83.0
WhatsApp Image 2026-09-08 at 10.43.35 AM.jpeg,JPEG,c66f33a163b27098,c66f33a163b2709899402e130b00d354a45917fc8bf4b0c022bdbdb0f1a70fe2,UNKNOWN,UNABLE_TO_VERIFY,45.5
WhatsApp Image 2026-09-08 at 10.45.33 AM.jpeg,JPEG,4e102bb3535e9d76,4e102bb3535e9d762785065ca6d72f061c528c4d4bcbcf02e23e98363234ac4f,UNKNOWN,UNABLE_TO_VERIFY,45.2
WhatsApp Image 2026-09-08 at 10.45.34 AM.jpeg,JPEG,b762294acde0d808,b762294acde0d80818ad746a9af8ca7bd3c2188012ad67b89905e00f69d22c49,UNKNOWN,INVALID / POSSIBLE TAMPERING,83.0
WhatsApp Image 2026-09-08 at 10.46.01 AM.jpeg,JPEG,838a556674f0e6dd,838a556674f0e6dd9d8c711cf89a29c03987d33f4048981a7357413b74a5626b,UNKNOWN,UNABLE_TO_VERIFY,45.5
WhatsApp Image 2026-09-08 at 10.46.58 AM.jpeg,JPEG,61e2439e540ab9a9,61e2439e540ab9a9e545e00ca1a82bd013ad709ba5e86434deaaa412757edff1,UNKNOWN,UNABLE_TO_VERIFY,45.2
WhatsApp Image 2026-09-08 at 10.46.59 AM.jpeg,JPEG,072840dbc3f3eb24,072840dbc3f3eb24cbead2bf8e083813fd722c9f82ab0f141f1bf0220c4932e3,UNKNOWN,INVALID / POSSIBLE TAMPERING,83.0
WhatsApp Image 2026-09-08 at 10.47.07 AM.jpeg,JPEG,a0ba5fbe9adcf599,a0ba5fbe9adcf599444e0431ea94c13ca1b8bff6a2009dbed874808a2a775573,UNKNOWN,UNABLE_TO_VERIFY,45.5
WhatsApp Image 2026-09-08 at 10.47.15 AM.jpeg,JPEG,891dfc682aca2e9c,891dfc682aca2e9c0c0db57f9e870c482116d2f9b5b62ecbfd8aa5af85aef4f2,UNKNOWN,UNABLE_TO_VERIFY,45.1
WhatsApp Image 2026-09-08 at 10.47.25 AM.jpeg,JPEG,5929e3f5779af464,5929e3f5779af4644f3069847a8ff7d76debd6b4745fe74ff4dc9b5051dcc9a5,UNKNOWN,UNABLE_TO_VERIFY,45.1
WhatsApp Image 2026-09-08 at 10.47.44 AM.jpeg,JPEG,3fa2d3870b4d0b6b,3fa2d3870b4d0b6bb39443d670b2bfef657246233285b4c51fc940731408ba62,UNKNOWN,UNABLE_TO_VERIFY,45.6
WhatsApp Image 2026-09-08 at 10.48.48 AM.jpeg,JPEG,a43f91953895eb54,a43f91953895eb5480c815f0adc5023b3bed08ab1637dbe035f1c5b44f7b893a,UNKNOWN,UNABLE_TO_VERIFY,45.1
WhatsApp Image 2026-09-08 at 10.48.55 AM.jpeg,JPEG,b818c1d0469d550d,b818c1d0469d550d7be044b695f859099225d9a52227ac8295fe9740e93e6f41,UNKNOWN,INVALID / POSSIBLE TAMPERING,83.0
WhatsApp Image 2026-09-08 at 10.49.29 AM.jpeg,JPEG,73e1125a22870edd,73e1125a22870edd9819f14eb58ab1f79423d9c36fd0dbde99d56193c4c6bcff,UNKNOWN,UNABLE_TO_VERIFY,45.1
WhatsApp Image 2026-09-08 at 10.50.46 AM.jpeg,JPEG,e1b4459b0b109492,e1b4459b0b109492db502406cd1fdab210a6ac21f208201045cee6065637b61a,UNKNOWN,UNABLE_TO_VERIFY,45.1
WhatsApp Image 2026-09-08 at 10.51.08 AM.jpeg,JPEG,88efd85481ccff88,88efd85481ccff8884d0579cef60be1e0330336855ae84a5d69b3b0731f5af51,UNKNOWN,INVALID / POSSIBLE TAMPERING,83.0
WhatsApp Image 2026-09-08 at 10.51.30 AM.jpeg,JPEG,dcb658c23c45a240,dcb658c23c45a240be3ee6671e4d3078f030b853353ca27bff3a5c4949293660,UNKNOWN,UNABLE_TO_VERIFY,45.1
WhatsApp Image 2026-09-08 at 10.51.32 AM.jpeg,JPEG,32cf5383459a88d0,32cf5383459a88d004c46cee8f04b9c084b4e2f50cab092d1126a129682ee0ba,UNKNOWN,UNABLE_TO_VERIFY,45.2
WhatsApp Image 2026-09-08 at 10.51.44 AM.jpeg,JPEG,0c86ac73a3d899d7,0c86ac73a3d899d7d737c869a0d755904a7df9d60f695cc32eee0b496167c5f9,UNKNOWN,INVALID / POSSIBLE TAMPERING,83.0
WhatsApp Image 2026-09-08 at 10.52.07 AM.jpeg,JPEG,f1062ddce784a973,f1062ddce784a97382e16c791a637bcc444c35131ae26a6720b921d040e9a5f8,UNKNOWN,UNABLE_TO_VERIFY,45.1
WhatsApp Image 2026-09-08 at 10.52.24 AM.jpeg,JPEG,8101d687eb4d1771,8101d687eb4d1771baee9f902248a9502b613383a1e64a0cd762bb134951c208,UNKNOWN,UNABLE_TO_VERIFY,45.1
WhatsApp Image 2026-09-08 at 10.52.32 AM.jpeg,JPEG,96d8e11a795d5091,96d8e11a795d509119250292df73a52d9558cf857bc52096859c67b329628e87,UNKNOWN,UNABLE_TO_VERIFY,45.1
WhatsApp Image 2026-09-08 at 10.53.44 AM.jpeg,JPEG,224e5da2e2f18a7c,224e5da2e2f18a7c815b7aadd3a015ffa8183a59eae94f4b4b1128aba6d03181,UNKNOWN,UNABLE_TO_VERIFY,45.8
WhatsApp Image 2026-09-08 at 10.54.39 AM.jpeg,JPEG,bdbe1e9e85745d09,bdbe1e9e85745d099a4eece3cff509955bda16ac0f4585a38951f97bf75b13c9,UNKNOWN,UNABLE_TO_VERIFY,45.3
WhatsApp Image 2026-09-08 at 10.54.41 AM.jpeg,JPEG,5d7ce61e8abd7aed,5d7ce61e8abd7aed613a4d5b409d41b84a6a5bd1fffce3426d0269e29060fd02,UNKNOWN,INVALID / POSSIBLE TAMPERING,83.0
WhatsApp Image 2026-09-08 at 10.55.21 AM.jpeg,JPEG,af4f1abb83e778d9,af4f1abb83e778d90e5ef90a1ae351eda47e32691e3f84896919e7428833c891,UNKNOWN,UNABLE_TO_VERIFY,45.6
WhatsApp Image 2026-09-08 at 11.00.45 AM.jpeg,JPEG,a829a3a99a68f1df,a829a3a99a68f1df9a1ecda473f0e4c4bf87fa7b4f6d1c9d05d61bbafb95df32,UNKNOWN,UNABLE_TO_VERIFY,45.0
