file,type,sha256_prefix,ground_truth
WhatsApp Image 2026-09-08 at 10.52.32 AM.jpeg,JPEG,96d8e11a795d5091,UNKNOWN
WhatsApp Image 2026-09-08 at 10.42.18 AM.jpeg,JPEG,c526b8391b295cb2,UNKNOWN
WhatsApp Image 2026-09-08 at 10.46.58 AM.jpeg,JPEG,61e2439e540ab9a9,UNKNOWN
WhatsApp Image 2026-09-08 at 10.47.44 AM.jpeg,JPEG,3fa2d3870b4d0b6b,UNKNOWN
WhatsApp Image 2026-09-08 at 10.52.24 AM.jpeg,JPEG,8101d687eb4d1771,UNKNOWN
WhatsApp Image 2026-09-08 at 10.46.59 AM.jpeg,JPEG,072840dbc3f3eb24,UNKNOWN
WhatsApp Image 2026-09-08 at 10.51.32 AM.jpeg,JPEG,32cf5383459a88d0,UNKNOWN
WhatsApp Image 2026-09-08 at 10.43.35 AM.jpeg,JPEG,c66f33a163b27098,UNKNOWN
WhatsApp Image 2026-09-08 at 10.50.46 AM.jpeg,JPEG,e1b4459b0b109492,UNKNOWN
WhatsApp Image 2026-09-08 at 10.47.07 AM.jpeg,JPEG,a0ba5fbe9adcf599,UNKNOWN
WhatsApp Image 2026-09-08 at 10.48.48 AM.jpeg,JPEG,a43f91953895eb54,UNKNOWN
WhatsApp Image 2026-09-08 at 10.46.01 AM.jpeg,JPEG,838a556674f0e6dd,UNKNOWN
WhatsApp Image 2026-09-08 at 10.54.39 AM.jpeg,JPEG,bdbe1e9e85745d09,UNKNOWN
WhatsApp Image 2026-09-08 at 10.47.25 AM.jpeg,JPEG,5929e3f5779af464,UNKNOWN
WhatsApp Image 2026-09-08 at 10.52.07 AM.jpeg,JPEG,f1062ddce784a973,UNKNOWN
WhatsApp Image 2026-09-08 at 10.51.08 AM.jpeg,JPEG,88efd85481ccff88,UNKNOWN
WhatsApp Image 2026-09-08 at 10.55.21 AM.jpeg,JPEG,af4f1abb83e778d9,UNKNOWN
WhatsApp Image 2026-09-08 at 10.40.20 AM.jpeg,JPEG,058983aef83a385e,UNKNOWN
WhatsApp Image 2026-09-08 at 10.47.15 AM.jpeg,JPEG,891dfc682aca2e9c,UNKNOWN
WhatsApp Image 2026-09-08 at 10.49.29 AM.jpeg,JPEG,73e1125a22870edd,UNKNOWN
WhatsApp Image 2026-09-08 at 10.40.29 AM.jpeg,JPEG,598b5ee5e67c96be,UNKNOWN
WhatsApp Image 2026-09-08 at 10.48.55 AM.jpeg,JPEG,b818c1d0469d550d,UNKNOWN
